Citation,Country,URL,Site,Number of men,Number of women,Total farmers,GPS_N,GPS_E,GPS find method2,Row,Number,System,Adjusted system
"Wassena, F.J., Mbeho, A., Kimambo, A.E., Maass, B.L. and Lukuyu, B. 2013. Report of a livestock feed assessment in Mvomero District, Morogoro Region, the United Republic of Tanzania. Nairobi, Kenya: CIAT.",Tanzania,https://cgspace.cgiar.org/handle/10568/51750,Manyinga 2,9,6,15,-6.13308,37.62563,From Fred's excel sheet,4,1,  OTH,MRA
"Wassena, F.J., Mbeho, A., Kimambo, A.E., Maass, B.L. and Lukuyu, B. 2013. Report of a livestock feed assessment in Mvomero District, Morogoro Region, the United Republic of Tanzania. Nairobi, Kenya: CIAT.",Tanzania,https://cgspace.cgiar.org/handle/10568/51750,Wami Sokoine 1,10,6,16,-6.53892,37.56852,From Fred's excel sheet,5,1,  MRA,  MRA
"Wassena, F.J., Mbeho, A., Kimambo, A.E., Maass, B.L. and Lukuyu, B. 2013. Report of a livestock feed assessment in Mvomero District, Morogoro Region, the United Republic of Tanzania. Nairobi, Kenya: CIAT.",Tanzania,https://cgspace.cgiar.org/handle/10568/51750,Wami Sokoine 2,17,8,25,-6.53892,37.56852,From Fred's excel sheet,6,1,  MRA,  MRA
"Wassena, F.J., Mbeho, A., Kimambo, A.E., Maass, B.L. and Lukuyu, B. 2013. Report of a livestock feed assessment in Mvomero District, Morogoro Region, the United Republic of Tanzania. Nairobi, Kenya: CIAT.",Tanzania,https://cgspace.cgiar.org/handle/10568/51750,Manyinga 1,8,5,13,-6.13308,37.62563,From Fred's excel sheet,7,1,  OTH,MRA
"Hagos, T., GebreYohans, S., GebreMeskel, K., GebreYohanse, W., Zegey, T., Assfaw, M. and Wamatu, J. 2014. Using FEAST to characterize the farming and livestock production systems and the potential to enhance livestock productivity through improved feeding in Gebrekidan, Atsbi-Wonberta District, Tigray, Ethiopia. Addis Ababa, Ethiopia: ICARDA.",Ethiopia,https://cgspace.cgiar.org/handle/10568/35608,"Gebrekidan, Atsbi-Wonberta District, Tigray, Ethiopia", ,,20,14.00167,39.72528,in report,8,2,  MRA,  MRA
"Hagos, T., GebreYohans, S., GebreMeskel, K., GebreYohanse, W., Zegey, T., Assfaw, M. and Wamatu, J. 2014. Using FEAST to characterize the farming and livestock production systems and the potential to enhance livestock productivity through improved feeding in in Golgolnaele, Atsbi-Wonberta District, Tigray, Ethiopia. Addis Ababa, Ethiopia: ICARDA.",Ethiopia,https://cgspace.cgiar.org/handle/10568/35607,"Golgolnaele, Atsbi-Wonberta District, Tigray, Ethiopia ",12,8,20,13.88075,39.73555,in report,9,3,  MRA,  MRA
"Wondatir, Z. and Damtew, E. 2015. Assessment of livestock production system and feed resources availability in Hawassa Zuria district, Ethiopia: FEAST survey report. Nairobi, Kenya: ILRI.",Ethiopia,https://cgspace.cgiar.org/handle/10568/67272,"Hawassa Zuria district, Ethiopia - group 2", ,,15,7.05066,38.49641,Guessed from district name,10,4,  MRT,  MRT
"Wondatir, Z. and Damtew, E. 2015. Assessment of livestock production system and feed resources availability in Hawassa Zuria district, Ethiopia: FEAST survey report. Nairobi, Kenya: ILRI.",Ethiopia,https://cgspace.cgiar.org/handle/10568/67272,"Hawassa Zuria district, Ethiopia - group 1", ,,15,7.05066,38.49641,Guessed from district name,11,4,  MRT,  MRT
"Wassena, F.J., Mbeho, A., Maass, B.L., Lukuyu, B. and Kimambo, A.E. 2013. Report of a livestock feed assessment in Kilosa District, Morogoro Region, the United Republic of Tanzania. Nairobi, Kenya: CIAT",Tanzania,https://cgspace.cgiar.org/handle/10568/51749,"Mbwade 2, Kilosa District, Morogoro Region, the United Republic of Tanzania",8,3,11,-6.76155,37.18525,From Fred's excel sheet,12,5,  MRA,  MRA
"Wassena, F.J., Mbeho, A., Maass, B.L., Lukuyu, B. and Kimambo, A.E. 2013. Report of a livestock feed assessment in Kilosa District, Morogoro Region, the United Republic of Tanzania. Nairobi, Kenya: CIAT",Tanzania,https://cgspace.cgiar.org/handle/10568/51749,"Twatwatwa 2, Kilosa District, Morogoro Region, the United Republic of Tanzania",7,4,11,-6.75592,37.3105,From Fred's excel sheet,13,5,  MRA,  MRA
